Country Code,IncomeGroup
ABW,High income
AFG,Low income
AGO,Upper middle income
ALB,Upper middle income
AND,High income
ARB,
ARE,High income
ARG,Upper middle income
ARM,Lower middle income
ASM,Upper middle income
ATG,High income
AUS,High income
AUT,High income
AZE,Upper middle income
BDI,Low income
BEL,High income
BEN,Low income
BFA,Low income
BGD,Lower middle income
BGR,Upper middle income
BHR,High income
BHS,High income
BIH,Upper middle income
BLR,Upper middle income
BLZ,Upper middle income
BMU,High income
BOL,Lower middle income
BRA,Upper middle income
BRB,High income
BRN,High income
BTN,Lower middle income
BWA,Upper middle income
CAF,Low income
CAN,High income
CEB,
CHE,High income
CHI,High income
CHL,High income
CHN,Upper middle income
CIV,Lower middle income
CMR,Lower middle income
COD,Low income
COG,Lower middle income
COL,Upper middle income
COM,Low income
CPV,Lower middle income
CRI,Upper middle income
CSS,
CUB,Upper middle income
CUW,High income
CYM,High income
CYP,High income
CZE,High income
DEU,High income
DJI,Lower middle income
DMA,Upper middle income
DNK,High income
DOM,Upper middle income
DZA,Upper middle income
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,Upper middle income
EGY,Lower middle income
EMU,
ERI,Low income
ESP,High income
EST,High income
ETH,Low income
EUU,
FCS,
FIN,High income
FJI,Upper middle income
FRA,High income
FRO,High income
FSM,Lower middle income
GAB,Upper middle income
GBR,High income
GEO,Upper middle income
GHA,Lower middle income
GIB,High income
GIN,Low income
GMB,Low income
GNB,Low income
GNQ,Upper middle income
GRC,High income
GRD,Upper middle income
GRL,High income
GTM,Lower middle income
GUM,High income
GUY,Upper middle income
HIC,
HKG,High income
HND,Lower middle income
HPC,
HRV,High income
HTI,Low income
HUN,High income
IBD,
IBT,
IDA,
IDB,
IDN,Lower middle income
IDX,
IMN,High income
IND,Lower middle income
IRL,High income
IRN,Upper middle income
IRQ,Upper middle income
ISL,High income
ISR,High income
ITA,High income
JAM,Upper middle income
JOR,Upper middle income
JPN,High income
KAZ,Upper middle income
KEN,Lower middle income
KGZ,Lower middle income
KHM,Lower middle income
KIR,Lower middle income
KNA,High income
KOR,High income
KSV,Lower middle income
KWT,High income
LAC,
LAO,Lower middle income
LBN,Upper middle income
LBR,Low income
LBY,Upper middle income
LCA,Upper middle income
LCN,
LDC,
LIC,
LIE,High income
LKA,Lower middle income
LMC,
LMY,
LSO,Lower middle income
LTE,
LTU,High income
LUX,High income
LVA,High income
MAC,High income
MAF,High income
MAR,Lower middle income
MCO,High income
MDA,Lower middle income
MDG,Low income
MDV,Upper middle income
MEA,
MEX,Upper middle income
MHL,Upper middle income
MIC,
MKD,Upper middle income
MLI,Low income
MLT,High income
MMR,Lower middle income
MNA,
MNE,Upper middle income
MNG,Lower middle income
MNP,High income
MOZ,Low income
MRT,Lower middle income
MUS,Upper middle income
MWI,Low income
MYS,Upper middle income
NAC,
NAM,Upper middle income
NCL,High income
NER,Low income
NGA,Lower middle income
NIC,Lower middle income
NLD,High income
NOR,High income
NPL,Low income
NRU,High income
NZL,High income
OED,
OMN,High income
OSS,
PAK,Lower middle income
PAN,Upper middle income
PER,Upper middle income
PHL,Lower middle income
PLW,Upper middle income
PNG,Lower middle income
POL,High income
PRE,
PRI,High income
PRK,Low income
PRT,High income
PRY,Upper middle income
PSE,Lower middle income
PSS,
PST,
PYF,High income
QAT,High income
ROU,Upper middle income
RUS,Upper middle income
RWA,Low income
SAS,
SAU,High income
SDN,Lower middle income
SEN,Low income
SGP,High income
SLB,Lower middle income
SLE,Low income
SLV,Lower middle income
SMR,High income
SOM,Low income
SRB,Upper middle income
SSA,
SSD,Low income
SSF,
SST,
STP,Lower middle income
SUR,Upper middle income
SVK,High income
SVN,High income
SWE,High income
SWZ,Lower middle income
SXM,High income
SYC,High income
SYR,Lower middle income
TCA,High income
TCD,Low income
TEA,
TEC,
TGO,Low income
THA,Upper middle income
TJK,Lower middle income
TKM,Upper middle income
TLA,
TLS,Lower middle income
TMN,
TON,Lower middle income
TSA,
TSS,
TTO,High income
TUN,Lower middle income
TUR,Upper middle income
TUV,Upper middle income
TZA,Low income
UGA,Low income
UKR,Lower middle income
UMC,
URY,High income
USA,High income
UZB,Lower middle income
VCT,Upper middle income
VEN,Upper middle income
VGB,High income
VIR,High income
VNM,Lower middle income
VUT,Lower middle income
WLD,
WSM,Lower middle income
YEM,Lower middle income
ZAF,Upper middle income
ZMB,Lower middle income
ZWE,Low income
