Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.555352242,2.83062645,2.756780791,2.705929168,3.026391593,3.930182014,4.250128444,4.190179611,4.15775268,4.162895928,4.073783317,4.030863585,4.127277094,4.300250026,4.093829743,4.618354806,4.548227785,4.674973764,,,,,
Andorra,AND,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.603917444,3.290540826,3.305753425,3.536823088,3.576567143,3.3404929,3.319912737,3.292690834,3.422877267,3.323526165,3.610752705,3.533300884,3.285892226,3.164166418,,,
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.74684355,17.08061159,17.87912678,16.93752863,16.736761,18.05262075,18.19920737,13.5574931,12.94328462,14.22243254,12.82946486,12.02910537,12.2816924,12.01831647,
Angola,AGO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,9.86950016,10.38399982,8.076000214,9.836500168,5.688333511,5.118000031,12.5,3.846153846,5.576208178,4.950016124,4.007465964,3.445749994,4.378391184,6.318795907,3.222875779,2.890163321,3.873100814,,,,,,,,,,,,,,,
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.10494041,8.107775939,7.024420206,6.755369052,7.197241179,6.643187169,6.362479879,8.302413048,9.457842482,10.18624131,10.76359809,8.835850082,5.764607146,6.006989462,6.272659514,6.510345203,5.325983021,5.575386804,5.483948928,5.719802899,
Arab World,ARB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.48582369,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,41.18416018,41.00790191,37.82402724,36.19621884,36.64576178,31.54474366,35.7630741,36.35807353,34.33404737,34.03688521,38.21510828,39.11676033,36.59498673,34.12760921,32.68515767,29.47609699,28.76523629,31.36025626,30.66946753,29.7084408,29.64184731,27.41959716,27.49664628,27.99967586,30.94937189,26.78970455,24.38644909,21.85913156,19.50115515,19.33092786,18.65034172,19.00571287,19.80354859,19.36675026,18.32170203,17.80933159,17.2355277,21.57463675,24.04157574,22.26042567,21.45712021,20.94389893,20.09380362,19.61467559,18.4732875,18.75126777,18.71757725,18.01805405,17.82005629,17.44684018,17.22363221,
Armenia,ARM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.78582235,37.32749469,33.13308038,22.8550806,30.07533276,25.19908789,24.79447619,24.41192367,21.91917607,23.12292642,18.53012523,17.35527107,16.7383121,16.84022841,14.8052957,14.81942166,11.85383049,10.41396845,9.975136149,9.722394431,10.9117283,11.86322836,10.55881607,10.89355922,10.89964592,10.35168856,
American Samoa,ASM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
