"","Country.Name","Country.Code","Year","GDP","Unemployment.Rate","CPI","Manufacturing.Rate","Trade"
"3","Afghanistan","AFG","1960",537777811.1,NA,NA,NA,11.15702658
"8","Argentina","ARG","1960",NA,NA,NA,NA,15.20809609
"12","Australia","AUS","1960",18567588756,NA,7.982827102,NA,27.06435853
"13","Austria","AUT","1960",6592693841,NA,17.78730652,NA,46.50975849
"15","Burundi","BDI","1960",195999990,NA,NA,NA,25.89285744
"16","Belgium","BEL","1960",11658722591,NA,15.55540861,NA,76.30136587
"17","Benin","BEN","1960",226195579.4,NA,NA,NA,18.23419982
"18","Burkina Faso","BFA","1960",330442817.2,NA,10.71330051,11.65454223,20.70137006
"19","Bangladesh","BGD","1960",4274893913,NA,NA,5.309910797,19.30394367
"22","Bahamas, The","BHS","1960",169803921.6,NA,NA,NA,NA
"25","Belize","BLZ","1960",28071888.56,NA,NA,NA,NA
"26","Bermuda","BMU","1960",84466654.08,NA,NA,NA,NA
"27","Bolivia","BOL","1960",563110051.9,NA,2.24e-05,NA,32.61218019
"28","Brazil","BRA","1960",NA,NA,NA,29.60749551,14.17633202
"32","Botswana","BWA","1960",30411418.68,NA,NA,NA,65.91957811
"33","Central African Republic","CAF","1960",112155598.9,NA,NA,NA,57.45453674
"34","Canada","CAN","1960",41093453545,NA,13.33771241,NA,35.10161493
"36","Switzerland","CHE","1960",9522746719,NA,24.02628034,NA,54.51582506
"38","Chile","CHL","1960",4050727273,NA,NA,21.16004044,29.17545671
"39","China","CHN","1960",59716467625,NA,NA,NA,8.734099721
"40","Cote d'Ivoire","CIV","1960",546203561.6,NA,5.558836943,NA,57.14406757
"41","Cameroon","CMR","1960",618740988,NA,NA,NA,NA
"42","Congo, Rep.","COG","1960",131731862.6,NA,NA,NA,106.0604921
"43","Colombia","COL","1960",4040948154,NA,0.057262386,NA,30.37819696
"46","Costa Rica","CRI","1960",507513830,NA,0.249224278,NA,47.59306432
"51","Cyprus","CYP","1960",NA,NA,13.91529038,NA,NA
"56","Denmark","DNK","1960",6248946880,NA,8.246046948,NA,66.63227343
"57","Dominican Republic","DOM","1960",672399700,NA,0.454580671,NA,44.40811024
"58","Algeria","DZA","1960",2723637615,NA,NA,NA,106.1868043
"64","Ecuador","ECU","1960",1010325138,NA,0.011789026,NA,36.34038553
"65","Egypt, Arab Rep.","EGY","1960",NA,NA,1.208720709,NA,NA
"68","Spain","ESP","1960",12072126075,NA,2.826386526,NA,15.26805265
"73","Finland","FIN","1960",5224102196,NA,7.907899814,NA,43.3504665
"74","Fiji","FJI","1960",112328422.1,NA,NA,NA,78.02690583
"75","France","FRA","1960",62651474947,NA,10.37274728,NA,26.96545495
"78","Gabon","GAB","1960",141468977.6,NA,NA,NA,66.79819618
"79","United Kingdom","GBR","1960",72328047042,NA,NA,NA,41.80065061
"81","Ghana","GHA","1960",1217230095,NA,NA,NA,63.63636364
"87","Greece","GRC","1960",4446528165,NA,1.120284374,NA,24.67103115
"90","Guatemala","GTM","1960",1043599900,NA,1.755258964,NA,27.1751655
"92","Guyana","GUY","1960",170215248.2,NA,NA,10.36585366,105.688828
"94","Hong Kong SAR, China","HKG","1960",1320796652,NA,NA,NA,0
"95","Honduras","HND","1960",335650000,NA,1.56192883,12.54119974,44.42127216
"98","Haiti","HTI","1960",NA,NA,0.61638977,NA,NA
"104","Indonesia","IDN","1960",NA,NA,0.000277393,9.738595592,28.44215787
"107","India","IND","1960",37679274491,NA,2.587927167,13.70986624,11.1021357
"109","Ireland","IRL","1960",1939329775,NA,5.081054298,NA,64.80013725
"110","Iran, Islamic Rep.","IRN","1960",4199134389,NA,0.139003546,9.061426885,31.23754168
"111","Iraq","IRQ","1960",1684121535,NA,59.05985099,NA,NA
"112","Iceland","ISL","1960",248434097,NA,0.042800945,NA,86.83569344
"113","Israel","ISR","1960",2598500000,NA,0.00089407,NA,23.03251876
"114","Italy","ITA","1960",40385288344,NA,4.145779932,NA,25.36059314
"115","Jamaica","JAM","1960",699050679,NA,0.112307378,NA,71.29296166
"117","Japan","JPN","1960",44307342950,NA,18.66952445,NA,21.0109012
"119","Kenya","KEN","1960",791265458.8,NA,0.741244284,9.409295376,64.76585106
"121","Cambodia","KHM","1960",637142865.7,NA,NA,NA,35.87443763
"123","St. Kitts and Nevis","KNA","1960",12366563.61,NA,NA,NA,NA
"124","Korea, Rep.","KOR","1960",3891846797,NA,NA,NA,15.75789276
"130","Liberia","LBR","1960",190495600,NA,NA,NA,84.14892522
"137","Sri Lanka","LKA","1960",1409873950,NA,1.487669034,NA,62.86589331
"140","Lesotho","LSO","1960",34579308.41,NA,NA,NA,50.20242915
"143","Luxembourg","LUX","1960",703925705.9,NA,17.07300823,NA,157.7481358
"147","Morocco","MAR","1960",2037150716,NA,9.94187732,NA,46.27024488
"150","Madagascar","MDG","1960",673081724.1,NA,NA,NA,26.65470908
"153","Mexico","MEX","1960",13056168000,NA,0.012892167,NA,20.14422609
"158","Malta","MLT","1960",NA,NA,20.9003681,NA,NA
"159","Myanmar","MMR","1960",NA,NA,0.155438057,NA,NA
"165","Mauritania","MRT","1960",92609222.69,NA,NA,NA,38.25528135
"167","Malawi","MWI","1960",162960130.5,NA,NA,NA,60.48109966
"168","Malaysia","MYS","1960",1916241997,NA,21.2939128,10.26098023,113.4235237
"172","Niger","NER","1960",449526872.6,NA,NA,NA,14.50575374
"173","Nigeria","NGA","1960",4196174329,NA,0.066485069,NA,26.16651287
"174","Nicaragua","NIC","1960",223854666.7,NA,NA,NA,49.82198605
"175","Netherlands","NLD","1960",12276734172,NA,16.4616613,NA,95.88750397
"176","Norway","NOR","1960",5163271598,NA,8.989344549,NA,73.60574001
"177","Nepal","NPL","1960",508334414,NA,NA,NA,NA
"179","New Zealand","NZL","1960",5485854792,NA,4.997573999,NA,NA
"183","Pakistan","PAK","1960",3707055901,NA,2.05492022,12.09614352,NA
"184","Panama","PAN","1960",537147122.4,NA,25.79163977,NA,100.1681478
"185","Peru","PER","1960",2571908062,NA,4.08e-08,19.74659336,40.48130752
"186","Philippines","PHL","1960",6684568805,NA,1.128957074,24.59171506,23.42250401
"188","Papua New Guinea","PNG","1960",230496033,NA,NA,NA,NA
"191","Puerto Rico","PRI","1960",1691900000,NA,NA,NA,124.4754342
"193","Portugal","PRT","1960",3193200404,NA,1.26481313,NA,33.47752362
"194","Paraguay","PRY","1960",NA,NA,0.410927393,NA,NA
"201","Rwanda","RWA","1960",119000024,NA,NA,NA,22.52100386
"204","Sudan","SDN","1960",1307333333,NA,0.001275557,4.802414929,27.56246813
"205","Senegal","SEN","1960",792824707.3,NA,NA,NA,31.08957118
"206","Singapore","SGP","1960",704462302.4,NA,27.53863837,NA,339.4481799
"208","Sierra Leone","SLE","1960",322009471.6,NA,NA,NA,NA
"209","El Salvador","SLV","1960",NA,NA,1.932957294,NA,NA
"211","Somalia","SOM","1960",NA,NA,NA,3.364725659,29.86031318
"218","Suriname","SUR","1960",93850000,NA,0.008155799,NA,118.1672882
"221","Sweden","SWE","1960",14842870293,NA,9.211595638,NA,46.44109154
"222","Swaziland","SWZ","1960",35076158.48,NA,NA,NA,82.61856962
"224","Seychelles","SYC","1960",12012025.25,NA,NA,NA,NA
